iter	Passed	Remaining
0	55	55228
1	56	28413
2	57	19078
3	57	14413
4	58	11656
5	59	9820
6	59	8502
7	60	7513
8	61	6749
9	62	6138
10	62	5637
11	63	5217
12	63	4858
13	65	4584
14	66	4338
15	66	4099
16	67	3905
17	68	3738
18	69	3578
19	69	3425
20	70	3287
21	71	3163
22	71	3048
23	72	2943
24	72	2845
25	73	2755
26	74	2688
27	75	2610
28	75	2537
29	76	2469
30	76	2406
31	77	2350
32	78	2297
33	79	2245
34	79	2198
35	80	2151
36	81	2109
37	81	2069
38	82	2027
39	82	1989
40	83	1953
41	84	1920
42	86	1914
43	86	1886
44	87	1851
45	87	1822
46	88	1792
47	89	1769
48	90	1749
49	90	1726
50	91	1702
51	92	1680
52	92	1660
53	93	1640
54	94	1623
55	95	1605
56	96	1588
57	96	1572
58	97	1556
59	98	1540
60	99	1527
61	100	1516
62	101	1504
63	101	1489
64	102	1478
65	103	1467
66	104	1458
67	105	1449
68	106	1433
69	107	1423
70	108	1414
71	108	1404
72	109	1392
73	110	1382
74	111	1371
75	111	1361
76	112	1350
77	113	1340
78	113	1327
79	114	1317
80	115	1307
81	115	1298
82	116	1283
83	117	1275
84	117	1267
85	118	1257
86	119	1249
87	119	1240
88	120	1233
89	121	1226
90	121	1215
91	122	1209
92	123	1202
93	124	1196
94	124	1189
95	125	1181
96	126	1174
97	126	1168
98	127	1162
99	128	1155
100	128	1147
101	129	1141
102	130	1135
103	131	1128
104	131	1122
105	132	1115
106	133	1110
107	133	1104
108	134	1097
109	135	1092
110	135	1087
111	136	1082
112	137	1077
113	137	1072
114	138	1068
115	139	1063
116	139	1056
117	140	1051
118	141	1046
119	142	1041
120	142	1037
121	143	1032
122	144	1027
123	144	1022
124	145	1016
125	146	1013
126	146	1008
127	147	1003
128	148	1000
129	149	997
130	149	993
131	150	989
132	151	986
133	152	983
134	152	979
135	153	974
136	153	968
137	154	963
138	154	958
139	155	953
140	155	949
141	156	943
142	156	938
143	156	933
144	157	929
145	158	924
146	158	920
147	159	915
148	159	911
149	160	907
150	160	903
151	161	900
152	161	896
153	162	891
154	163	890
155	163	886
156	164	883
157	165	879
158	165	876
159	166	872
160	166	868
161	167	865
162	167	862
163	168	858
164	169	855
165	169	852
166	170	849
167	170	845
168	171	842
169	171	839
170	172	836
171	173	833
172	173	830
173	174	827
174	174	824
175	175	821
176	176	819
177	176	816
178	177	813
179	177	810
180	178	807
181	179	805
182	179	802
183	180	799
184	180	796
185	181	793
186	181	790
187	182	788
188	183	786
189	184	785
190	184	782
191	185	779
192	185	777
193	186	775
194	187	772
195	187	770
196	188	767
197	188	765
198	189	763
199	190	760
200	190	758
201	191	755
202	191	753
203	192	751
204	193	748
205	193	746
206	194	744
207	194	741
208	195	739
209	195	737
210	196	735
211	197	732
212	197	730
213	198	728
214	198	726
215	199	724
216	200	722
217	200	720
218	201	719
219	202	717
220	202	715
221	203	713
222	204	711
223	204	708
224	205	706
225	205	705
226	206	703
227	207	701
