iter	Passed	Remaining
0	49	49357
1	50	25264
2	51	17211
3	52	13186
4	53	10717
5	54	9104
6	56	7947
7	57	7101
8	58	6423
9	59	5896
10	60	5453
11	61	5095
12	62	4782
13	64	4515
14	64	4261
15	65	4037
16	66	3825
17	66	3635
18	67	3464
19	67	3313
20	68	3175
21	68	3049
22	69	2934
23	69	2829
24	70	2736
25	70	2646
26	71	2562
27	71	2484
28	72	2411
29	72	2344
30	73	2282
31	73	2223
32	73	2167
33	74	2115
34	74	2065
35	75	2018
36	75	1974
37	76	1933
38	76	1894
39	77	1857
40	77	1821
41	78	1786
42	79	1768
43	80	1744
44	81	1719
45	81	1696
46	82	1674
47	83	1651
48	84	1631
49	84	1613
50	85	1592
51	86	1572
52	86	1550
53	87	1532
54	88	1513
55	88	1494
56	89	1477
57	89	1461
58	90	1445
59	91	1429
60	91	1413
61	92	1399
62	93	1384
63	93	1373
64	94	1360
65	95	1346
66	95	1332
67	96	1321
68	96	1308
69	98	1304
70	98	1293
71	99	1283
72	100	1273
73	100	1263
74	101	1254
75	102	1244
76	103	1236
77	104	1231
78	104	1221
79	105	1212
80	106	1203
81	107	1201
82	107	1188
83	108	1180
84	108	1172
85	109	1165
86	110	1157
87	110	1149
88	111	1142
89	112	1135
90	112	1127
91	113	1120
92	114	1112
93	114	1106
94	115	1099
95	115	1092
96	116	1085
97	117	1079
98	117	1072
99	118	1066
100	119	1059
101	119	1053
102	120	1047
103	120	1041
104	121	1036
105	122	1030
106	122	1025
107	123	1019
108	124	1014
109	124	1009
110	125	1004
111	126	999
112	126	994
113	127	989
114	127	984
115	128	979
116	129	973
117	129	969
118	130	964
119	131	964
120	132	960
121	132	954
122	133	950
123	134	946
124	134	942
125	135	937
126	135	932
127	136	929
128	137	925
129	137	921
130	138	917
131	138	913
132	139	909
133	140	905
134	140	901
135	141	898
136	142	895
137	143	895
138	143	891
139	144	887
140	145	884
141	145	879
142	146	876
143	146	872
144	147	869
145	148	867
146	148	863
147	149	860
148	150	857
149	150	853
150	151	850
151	151	847
152	152	844
153	153	841
154	154	841
155	155	839
156	156	837
157	156	835
158	157	833
159	158	831
160	158	827
161	159	824
162	160	821
163	161	823
164	162	821
165	162	817
166	163	814
167	163	811
168	164	807
169	164	804
170	165	801
171	166	799
172	166	797
173	167	794
174	167	791
175	168	788
176	168	785
177	169	782
178	169	778
179	170	776
180	171	775
181	172	773
182	172	771
183	173	769
184	174	768
185	175	765
186	175	764
187	176	761
188	176	758
189	177	756
190	177	753
191	178	750
192	178	747
193	179	745
194	179	742
195	180	739
196	180	737
197	181	734
198	182	732
199	182	730
200	183	729
201	184	727
202	184	724
203	185	723
204	185	720
205	186	719
206	187	717
207	187	715
208	188	712
209	189	711
210	189	709
211	190	706
212	190	704
213	191	702
214	192	701
215	192	699
216	193	696
217	193	694
218	194	693
219	195	691
220	195	690
221	196	688
222	197	687
223	197	685
224	198	683
225	199	681
226	199	680
227	200	678
228	201	676
229	201	675
230	202	673
231	202	671
232	203	669
233	204	667
234	204	666
235	205	664
236	205	662
237	206	661
238	207	659
239	207	657
240	208	655
241	208	654
242	209	653
243	210	651
244	210	649
245	211	648
246	212	646
247	212	645
248	213	643
249	213	641
250	214	640
251	215	638
252	215	637
253	217	639
254	218	638
255	219	636
256	219	635
257	220	634
258	221	633
259	221	631
260	222	629
261	223	628
262	223	627
263	224	625
264	225	626
265	226	625
266	227	624
267	228	623
268	229	622
269	229	621
270	230	619
271	231	618
272	232	618
273	232	616
274	233	614
275	234	614
276	235	613
277	235	612
278	236	610
279	237	610
280	238	609
281	238	607
282	239	606
283	240	605
284	240	603
285	241	602
286	242	601
287	242	599
288	243	598
289	243	596
290	244	594
291	245	594
292	245	593
293	246	591
294	247	591
295	248	590
296	248	588
297	249	588
298	250	587
299	251	586
300	251	585
301	252	584
302	253	584
303	254	582
304	255	581
305	255	580
306	256	578
307	257	577
308	257	575
309	258	575
310	259	573
311	260	573
312	261	573
313	261	571
314	262	570
315	263	569
316	263	568
317	264	566
318	265	567
319	266	566
320	267	566
321	268	565
322	269	564
323	271	566
324	271	564
325	272	563
326	273	562
327	274	561
328	274	560
329	275	558
330	275	557
331	276	556
332	277	555
333	277	553
334	278	552
335	279	551
336	279	550
337	280	549
338	281	548
339	281	546
340	282	545
341	283	544
342	283	543
343	284	542
344	285	541
345	285	540
346	286	539
347	287	537
348	288	537
349	288	535
350	289	534
351	289	533
352	290	532
353	291	531
354	291	529
355	292	528
356	292	527
357	293	526
358	294	525
359	294	524
360	295	523
361	296	522
362	296	520
363	297	519
364	298	518
365	298	517
366	299	516
367	300	515
368	301	514
369	301	513
370	302	512
371	302	511
372	303	510
373	304	509
374	305	508
375	305	507
376	306	506
377	306	505
378	307	504
379	308	502
380	308	501
381	309	500
382	310	499
383	310	498
384	311	497
385	312	496
386	312	495
387	313	494
388	314	493
389	314	491
390	315	491
391	315	490
392	316	488
393	317	487
394	317	486
395	318	485
396	319	484
397	319	483
398	320	482
399	321	481
400	321	480
401	322	479
402	323	478
403	323	477
404	324	476
405	326	477
406	326	476
407	327	475
408	328	475
409	330	475
410	332	476
411	334	477
412	335	476
413	336	475
414	336	474
415	337	473
416	338	472
417	338	471
418	339	470
419	340	469
420	341	469
421	342	468
422	343	468
423	344	468
424	346	468
425	347	468
426	348	467
427	350	468
428	351	468
429	353	468
430	354	467
431	355	467
432	356	466
433	357	465
434	357	464
435	358	463
436	359	462
437	359	461
438	360	460
439	361	459
440	361	458
441	362	457
442	363	456
443	363	455
444	364	454
445	365	453
446	366	453
447	367	452
448	368	451
449	368	450
450	369	449
451	370	449
452	371	448
453	371	447
454	372	446
455	373	445
456	373	444
457	374	443
458	375	442
459	376	441
460	376	440
461	377	439
462	378	438
463	378	437
464	379	437
465	380	436
466	381	435
467	383	435
468	384	435
469	386	435
470	388	435
471	389	435
472	390	435
473	391	434
474	392	434
475	393	433
476	396	434
477	396	433
478	398	433
479	399	433
480	402	434
481	403	433
482	404	432
483	405	432
484	406	432
485	409	433
486	410	432
487	411	431
488	411	430
489	412	429
490	412	428
491	414	427
492	415	426
493	415	425
494	416	424
495	416	423
496	417	422
497	418	421
498	419	420
499	419	419
500	420	418
501	421	417
502	421	416
503	422	415
504	423	414
505	423	413
506	425	413
507	425	412
508	426	411
509	427	410
510	428	409
511	428	408
512	429	407
513	430	406
514	431	406
515	432	405
516	432	404
517	433	403
518	434	402
519	434	401
520	435	400
521	435	399
522	436	398
523	437	397
524	438	396
525	438	395
526	439	394
527	440	393
528	441	392
529	441	391
530	442	390
531	443	389
532	445	390
533	447	390
534	450	391
535	451	390
536	452	390
537	453	389
538	455	389
539	457	389
540	458	389
541	460	389
542	461	388
543	462	387
544	464	387
545	466	387
